Image_Point,Vertical_Mean,Vertical_Std,Horizontal_Mean,Horizontal_Std,"High 
Voltage
[kV]","Speed
[mm/
min]","Extrusion
Total
[mm]","Divisor
[mm/
mm]","Humid.
[%]","Room
T_R
[°C]"
ML-FA38_05, 0.7677685950413223, 0.1924910308042941, 0.8016528925619835, 0.1537241919798979, -5.8, 800, 0.315625, 175.0, 44, 28.3
ML-FA28_04, 0.7938016528925621, 0.0860281884814283, 0.7023415977961432, 0.0878737141984667, -4.5, 800, 0.05625, 600.0, 48, 25.6
ML-FA41_06, 1.3110795454545454, 0.2052668387184821, 1.3422799422799423, 0.1814799070362898, -5.5, 800, 0.053125, 1000.0, 40, 28.9
ML-FA38_04, 0.833746556473829, 0.1472067766449483, 0.9002754820936638, 0.1760231419410446, -5.8, 800, 0.315625, 175.0, 44, 28.3
ML-FA28_05, 0.6017906336088155, 0.1162828974477425, 0.6231404958677685, 0.0840405525373221, -4.5, 800, 0.05625, 600.0, 48, 25.6
ML-FA45_09, 0.7881542699724517, 0.0690345154976968, 0.7231404958677686, 0.0924820099221097, -3.5, 700, 0.053125, 1000.0, 45, 27.0
ML-FA44_06, 0.753168044077135, 0.1180677816445509, 0.8356534090909091, 0.2098695032326956, -3.5, 600, 0.053125, 1000.0, 46, 26.9
ML-FA38_07, 0.7012396694214876, 0.134653057668532, 0.6855371900826446, 0.1193204029464238, -5.8, 800, 0.315625, 175.0, 44, 28.3
ML-FA28_06, 0.7662534435261708, 0.0789799283342123, 1.3505509641873277, 0.4781714712239834, -4.5, 800, 0.05625, 600.0, 48, 25.6
ML-FA36_09, 1.3616477272727274, 0.2485987005606717, 1.3918732782369143, 0.1965526127948718, -5.8, 800, 1.10625000000001, 50.0, 47, 28.0
ML-FA38_06, 0.8315426997245179, 0.1364574488780083, 0.8260330578512397, 0.2087785807421348, -5.8, 800, 0.315625, 175.0, 44, 28.3
ML-FA30_07, 0.2725895316804408, 0.1724115748001709, 0.3560606060606061, 0.0642548327327211, -5.0, 800, 0.06875, 800.0, 46, 26.6
ML-FA36_05, 1.3074380165289257, 0.2060013025843259, 1.342135642135642, 0.1718577764779968, -5.8, 800, 1.10625000000001, 50.0, 47, 28.0
ML-FA42_08, 0.8258953168044076, 0.1586652505075186, 0.9011019283746556, 0.1756139468574944, -5.0, 800, 0.053125, 1000.0, 40, 29.1
ML-FA29_05, 0.7921678321678322, 0.1645342647593986, 0.8402203856749311, 0.1676135930321509, -4.5, 800, 0.078125, 700.0, 46, 26.6
ML-FA30_05, 0.209228650137741, 0.1851857044011673, 0.3915977961432507, 0.0751042452098179, -5.0, 800, 0.06875, 800.0, 46, 26.6
ML-FA36_07, 1.3792011019283743, 0.1425744927371357, 1.3215542521994137, 0.1570542773808968, -5.8, 800, 1.10625000000001, 50.0, 47, 28.0
ML-FA29_06, 0.7903496503496505, 0.1127687372767732, 0.8519283746556473, 0.1436855684413013, -4.5, 800, 0.078125, 700.0, 46, 26.6
